refran;Categoría;categoria2
 Cada día tiene su refrán y su afán;refranero;
 Cien refranes, cien verdades;refranero;
 Decir refranes es decir verdades;refranero;
 De refranes y cantares tiene el pueblo mil millares;refranero;
 Quien habla por refranes es un saco de verdades;refranero;
 Refranes y consejos todos son buenos;refranero;
 Saber refranes poco cuesta y mucho vale;refranero;
 En cada refrán tienes una verdad;refranero;
 Hay más refranes que panes;refranero;
 En las penas y afanes consulta los refranes;refranero;
 Refrán de los abuelos es probado y verdadero;refranero;
 Los refranes y las tejas son cosas de casas viejas;refranero;
 Para todo mal, un refrán y para todo bien, también;refranero;
 Los refranes no engañan a nadie;refranero;
 La persona que es curiosa tiene un refrán para cada cosa;refranero;
 Hombre refranero, medido y certero;refranero;
 Mujer de lengua certera, mujer refranera. ;refranero;
 A buen amigo buen abrigo;Amistad;
 Amigo en la adversidad, es amigo de verdad;Amistad;
 Amigo sin dinero, eso quiero, que dinero sin amigo, a veces no vale un higo;Amistad;
 Amistad de boquilla, no vale una cerilla;Amistad;
 Amistades que son ciertas, mantienen las puertas abiertas;Amistad;
 Amistad fuerte, llega más allá de la muerte;Amistad;
 Amistad por interés, no dura porque no lo es;Amistad;
 Buenas cuentas, conservan amistades;Amistad;
 Con ciertos amigos, no se necesitan enemigos;Amistad;
 Con quien te vi te comparé;Amistad;
 Consejo de quien bien te quiere, escríbelo, aunque no lo apruebes;Amistad;
 Cuentas claras, amistades largas;Amistad;
 Cuentas claras conservan amistades;Amistad;
 Dime con quién andas y te diré quién eres;Amistad;
 El que a buen árbol se arrima, buena sombra le cobija;Amistad;
 El que bien te quiere te hará llorar;Amistad;
 El que de amigos carece es que no los merece;Amistad;
 El que no tiene amigos, tema a los enemigos;Amistad;
 El que no oye consejo no llega a viejo;Amistad;
 El que presta a un amigo, pierde el dinero y pierde el amigo;Amistad;
 En la necesidad, se conoce la amistad;Amistad;
 En largos caminos, se conocen los amigos;Amistad;
 En prisión y enfermedad, se conoce la amistad;Amistad;
 Entre amigos no hay cumplidos;Amistad;
 Entre dos amigos, un notario y dos testigos;Amistad;
 Hoy por ti, mañana por mí;Amistad;
 Jóvenes y viejos, todos necesitamos consejos;Amistad;
 La amistad hace lo que la sangre no hace;Amistad;
 Siembra buenas obras y recogerás frutos de sobra. ;Amistad;
 Buen porte y buenos modales abren puertas principales;Educación;
 Buenas costumbres y dineros hacen de los hijos caballeros;Educación;
 Buenas palabras y buenos modales todas las puertas abren;Educación;
 Con buenas palabras y mejores hechos conquistarás el mundo entero;Educación;
 Cortesía de boca, mucho consigue y nada cuesta;Educación;
 Cortesía y bien hablar cien puertas nos abrirán;Educación;
 Costumbres de mal maestro sacan hijo siniestro;Educación;
 En la mesa y en el juego se conoce al caballero. Lluvia;Educación;
 Cielo a corderos, agua a calderos;Lluvia;
 Cielo a lana, si no llueve hoy lloverá mañana;Lluvia;
 Cielo aborregado, a los tres días mojado;Lluvia;
 Cielo aborregado, suelo mojado;Lluvia;
 Cielo borreguero, vendaval o agua del cielo;Lluvia;
 Cielo empedrado a las veinticuatro horas mojado;Lluvia;
 Cielo rojazo, agua a porrazos;Lluvia;
 Cuando a la vaca el cuerno le suda, agua segura;Lluvia;
 Cuando al sapo ves andar, agua primaveral;Lluvia;
 Cuando el sapo canta fuerte, agua promete;Lluvia;
 Cuando los tordos se bañan, agua viene;Lluvia;
 Cuando los tordos en el invierno se bañan, barruntan agua;Lluvia;
 Cuando el arco iris se ve, o ha llovido o va a llover;Lluvia;
 Cuando el cuquillo canta, tan pronto sol como agua;Lluvia;
 Cuando el sol se pone cubierto, o lluvia o viento;Lluvia;
 Cuando canta el milano, agua en la mano;Lluvia;
 Cuando chilla el mochuelo, pronto se moja el suelo;Lluvia;
 Cuando la perdiz canta, señal es de agua;Lluvia;
 Cuando los perros comen hierba, lluvia hay cerca;Lluvia;
 Cuando los sapos saltan, anuncian agua;Lluvia;
 Golondrina que alta vuela, no teme a la lluvia;Lluvia;
 Golondrina que con el ala roza la tierra, lluvia recela;Lluvia;
 Hormigas acordonadas, pronto mojadas;Lluvia;
 La urraca en el lugar, llover o nevar;Lluvia;
 Pajarillos en banda, tardes son de agua;Lluvia;
 Si las lombrices asoman en el huerto, se moja presto. ;Lluvia;
 Cielo a corderos, agua a calderos;Naturaleza;
 Cielo a lana, si no llueve hoy lloverá mañana;Naturaleza;
